2021-01-24 20:09:06 - INFO - Saving to ./out/MNIST/BinaryConnect/PMF/2021-01-24_20-09-06
2021-01-24 20:09:06 - DEBUG - Run arguments: Namespace(architecture='BinaryConnect', batch_size=100, beta_interval=100, beta_scale=1.2, data_path='./Datasets/MNIST', dataset='MNIST', dataset_size=50000, eval='', eval_set='TEST', gpu_id='0', hidden_dim=2, im_size=28, input_channels=1, input_dim=784, learning_rate=0.001, log_interval=100, loss_function='CROSSENTROPY', lr_decay='STEP', lr_interval=7000, lr_scale=0.2, method='PMF', momentum=0.95, nesterov=False, num_epochs=500, num_iters=100000, optimizer='ADAM', output_dim=10, pr_interval=100, pretrained_model='', quant_levels=2, resume='', rounding='ARGMAX', save_dir='./out/MNIST/BinaryConnect/PMF/2021-01-24_20-09-06', save_name='./out/MNIST/BinaryConnect/PMF/2021-01-24_20-09-06/best_model.pth.tar', val_set='TRAIN', weight_decay=0.0)
2021-01-24 20:09:14 - INFO - BinaryConnect(
  (dropout1): Dropout(p=0.2, inplace=False)
  (dropout2): Dropout(p=0.2, inplace=False)
  (dropout3): Dropout(p=0.2, inplace=False)
  (dropout4): Dropout(p=0.2, inplace=False)
  (fc1): SLinear(
    (linear): Linear(in_features=784, out_features=4096, bias=False)
  )
  (fc2): SLinear(
    (linear): Linear(in_features=2048, out_features=4096, bias=False)
  )
  (fc3): SLinear(
    (linear): Linear(in_features=2048, out_features=4096, bias=False)
  )
  (fc4): SLinear(
    (linear): Linear(in_features=2048, out_features=20, bias=False)
  )
  (bn1): BatchNorm1d(2048, eps=0.0001, momentum=0.15, affine=False, track_running_stats=True)
  (bn2): BatchNorm1d(2048, eps=0.0001, momentum=0.15, affine=False, track_running_stats=True)
  (bn3): BatchNorm1d(2048, eps=0.0001, momentum=0.15, affine=False, track_running_stats=True)
  (bn4): BatchNorm1d(10, eps=0.0001, momentum=0.15, affine=False, track_running_stats=True)
)
2021-01-24 20:09:14 - INFO - Number of parameters: 20029440
2021-01-24 20:09:14 - INFO - Training...
2021-01-24 20:09:19 - INFO - Epoch: 0,	 Iter: 0,	 Loss: 2.78095,	 Val-Acc1: 36.18 (Best: 36.18),	 Val-Acc5: 76.60
2021-01-24 20:09:19 - INFO - lr: 0.0002
2021-01-24 20:09:29 - INFO - Epoch: 0,	 Iter: 100,	 Loss: 0.55756,	 Val-Acc1: 80.81 (Best: 80.81),	 Val-Acc5: 93.58
2021-01-24 20:09:40 - INFO - Epoch: 0,	 Iter: 200,	 Loss: 0.59806,	 Val-Acc1: 74.20 (Best: 80.81),	 Val-Acc5: 86.88
2021-01-24 20:09:50 - INFO - Epoch: 0,	 Iter: 300,	 Loss: 0.60125,	 Val-Acc1: 70.13 (Best: 80.81),	 Val-Acc5: 84.80
2021-01-24 20:10:00 - INFO - Epoch: 0,	 Iter: 400,	 Loss: 0.47063,	 Val-Acc1: 68.08 (Best: 80.81),	 Val-Acc5: 81.78
2021-01-24 20:10:14 - INFO - Epoch: 1,	 Iter: 0,	 Loss: 0.43296,	 Val-Acc1: 64.45 (Best: 80.81),	 Val-Acc5: 82.27
2021-01-24 20:10:24 - INFO - Epoch: 1,	 Iter: 100,	 Loss: 0.47794,	 Val-Acc1: 58.02 (Best: 80.81),	 Val-Acc5: 82.55
2021-01-24 20:10:34 - INFO - Epoch: 1,	 Iter: 200,	 Loss: 0.44811,	 Val-Acc1: 67.95 (Best: 80.81),	 Val-Acc5: 82.50
2021-01-24 20:10:44 - INFO - Epoch: 1,	 Iter: 300,	 Loss: 0.44842,	 Val-Acc1: 53.27 (Best: 80.81),	 Val-Acc5: 80.41
2021-01-24 20:10:55 - INFO - Epoch: 1,	 Iter: 400,	 Loss: 0.43142,	 Val-Acc1: 53.88 (Best: 80.81),	 Val-Acc5: 81.65
2021-01-24 20:11:08 - INFO - Epoch: 2,	 Iter: 0,	 Loss: 0.39774,	 Val-Acc1: 46.51 (Best: 80.81),	 Val-Acc5: 85.61
2021-01-24 20:11:19 - INFO - Epoch: 2,	 Iter: 100,	 Loss: 0.39950,	 Val-Acc1: 40.91 (Best: 80.81),	 Val-Acc5: 85.03
2021-01-24 20:11:29 - INFO - Epoch: 2,	 Iter: 200,	 Loss: 0.50598,	 Val-Acc1: 41.22 (Best: 80.81),	 Val-Acc5: 86.30
2021-01-24 20:11:39 - INFO - Epoch: 2,	 Iter: 300,	 Loss: 0.41148,	 Val-Acc1: 32.92 (Best: 80.81),	 Val-Acc5: 85.93
2021-01-24 20:11:49 - INFO - Epoch: 2,	 Iter: 400,	 Loss: 0.42307,	 Val-Acc1: 28.18 (Best: 80.81),	 Val-Acc5: 87.07
2021-01-24 20:12:03 - INFO - Epoch: 3,	 Iter: 0,	 Loss: 0.43571,	 Val-Acc1: 28.58 (Best: 80.81),	 Val-Acc5: 84.09
2021-01-24 20:12:13 - INFO - Epoch: 3,	 Iter: 100,	 Loss: 0.43844,	 Val-Acc1: 21.32 (Best: 80.81),	 Val-Acc5: 78.00
2021-01-24 20:12:23 - INFO - Epoch: 3,	 Iter: 200,	 Loss: 0.35678,	 Val-Acc1: 27.11 (Best: 80.81),	 Val-Acc5: 74.31
2021-01-24 20:12:34 - INFO - Epoch: 3,	 Iter: 300,	 Loss: 0.38713,	 Val-Acc1: 27.79 (Best: 80.81),	 Val-Acc5: 83.28
2021-01-24 20:12:44 - INFO - Epoch: 3,	 Iter: 400,	 Loss: 0.38518,	 Val-Acc1: 27.80 (Best: 80.81),	 Val-Acc5: 87.55
2021-01-24 20:12:57 - INFO - Epoch: 4,	 Iter: 0,	 Loss: 0.43221,	 Val-Acc1: 41.29 (Best: 80.81),	 Val-Acc5: 87.97
2021-01-24 20:13:08 - INFO - Epoch: 4,	 Iter: 100,	 Loss: 0.33976,	 Val-Acc1: 61.03 (Best: 80.81),	 Val-Acc5: 88.97
2021-01-24 20:13:18 - INFO - Epoch: 4,	 Iter: 200,	 Loss: 0.39951,	 Val-Acc1: 80.63 (Best: 80.81),	 Val-Acc5: 95.24
2021-01-24 20:13:28 - INFO - Epoch: 4,	 Iter: 300,	 Loss: 0.42609,	 Val-Acc1: 88.46 (Best: 88.46),	 Val-Acc5: 98.34
2021-01-24 20:13:39 - INFO - Epoch: 4,	 Iter: 400,	 Loss: 0.39638,	 Val-Acc1: 95.41 (Best: 95.41),	 Val-Acc5: 99.31
2021-01-24 20:13:53 - INFO - Epoch: 5,	 Iter: 0,	 Loss: 0.43892,	 Val-Acc1: 97.21 (Best: 97.21),	 Val-Acc5: 99.77
