2020-11-20 00:18:40 - INFO - Saving to ./out/MNIST/LENET300/PMF/2020-11-20_00-18-40
2020-11-20 00:18:40 - DEBUG - Run arguments: Namespace(architecture='LENET300', batch_size=128, beta_interval=100, beta_scale=1.2, data_path='./Datasets/MNIST', dataset='MNIST', dataset_size=50000, eval='', eval_set='TEST', gpu_id='0', hidden_dim=2, im_size=28, input_channels=1, input_dim=784, learning_rate=0.001, log_interval=100, loss_function='CROSSENTROPY', lr_decay='STEP', lr_interval=7000, lr_scale=0.2, method='PMF', momentum=0.95, nesterov=False, num_epochs=256, num_iters=100000, optimizer='ADAM', output_dim=10, pr_interval=100, pretrained_model='', quant_levels=2, resume='', rounding='ARGMAX', save_dir='./out/MNIST/LENET300/PMF/2020-11-20_00-18-40', save_name='./out/MNIST/LENET300/PMF/2020-11-20_00-18-40/best_model.pth.tar', val_set='TRAIN', weight_decay=0.0)
2020-11-20 00:18:40 - INFO - SLeNet300(
  (w1): SLinear(
    (linear): Linear(in_features=784, out_features=600, bias=True)
  )
  (bn1): BatchNorm1d(300, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU(inplace=True)
  (w2): SLinear(
    (linear): Linear(in_features=300, out_features=200, bias=True)
  )
  (bn2): BatchNorm1d(100, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU(inplace=True)
  (w3): SLinear(
    (linear): Linear(in_features=100, out_features=20, bias=True)
  )
)
2020-11-20 00:18:40 - INFO - Number of parameters: 534020
2020-11-20 00:18:40 - INFO - Training...
2020-11-20 00:18:42 - INFO - Epoch: 0,	 Iter: 0,	 Loss: 2.40846,	 Val-Acc1: 19.85 (Best: 19.85),	 Val-Acc5: 61.07
2020-11-20 00:18:42 - INFO - lr: 0.0002
2020-11-20 00:18:49 - INFO - Epoch: 0,	 Iter: 100,	 Loss: 0.57148,	 Val-Acc1: 36.82 (Best: 36.82),	 Val-Acc5: 83.89
2020-11-20 00:18:56 - INFO - Epoch: 0,	 Iter: 200,	 Loss: 0.44395,	 Val-Acc1: 39.61 (Best: 39.61),	 Val-Acc5: 89.68
2020-11-20 00:19:04 - INFO - Epoch: 0,	 Iter: 300,	 Loss: 0.34455,	 Val-Acc1: 40.31 (Best: 40.31),	 Val-Acc5: 85.42
2020-11-20 00:19:15 - INFO - Epoch: 1,	 Iter: 0,	 Loss: 0.20819,	 Val-Acc1: 39.36 (Best: 40.31),	 Val-Acc5: 85.26
2020-11-20 00:19:23 - INFO - Epoch: 1,	 Iter: 100,	 Loss: 0.14132,	 Val-Acc1: 31.60 (Best: 40.31),	 Val-Acc5: 84.36
2020-11-20 00:19:32 - INFO - Epoch: 1,	 Iter: 200,	 Loss: 0.27548,	 Val-Acc1: 34.42 (Best: 40.31),	 Val-Acc5: 80.88
2020-11-20 00:19:41 - INFO - Epoch: 1,	 Iter: 300,	 Loss: 0.12990,	 Val-Acc1: 31.55 (Best: 40.31),	 Val-Acc5: 85.25
2020-11-20 00:19:51 - INFO - Epoch: 2,	 Iter: 0,	 Loss: 0.10178,	 Val-Acc1: 29.79 (Best: 40.31),	 Val-Acc5: 81.37
2020-11-20 00:20:00 - INFO - Epoch: 2,	 Iter: 100,	 Loss: 0.08915,	 Val-Acc1: 24.49 (Best: 40.31),	 Val-Acc5: 80.49
2020-11-20 00:20:08 - INFO - Epoch: 2,	 Iter: 200,	 Loss: 0.12893,	 Val-Acc1: 31.25 (Best: 40.31),	 Val-Acc5: 84.24
2020-11-20 00:20:17 - INFO - Epoch: 2,	 Iter: 300,	 Loss: 0.08416,	 Val-Acc1: 27.97 (Best: 40.31),	 Val-Acc5: 83.00
2020-11-20 00:20:28 - INFO - Epoch: 3,	 Iter: 0,	 Loss: 0.14567,	 Val-Acc1: 31.33 (Best: 40.31),	 Val-Acc5: 82.77
2020-11-20 00:20:36 - INFO - Epoch: 3,	 Iter: 100,	 Loss: 0.09915,	 Val-Acc1: 36.08 (Best: 40.31),	 Val-Acc5: 85.59
2020-11-20 00:20:45 - INFO - Epoch: 3,	 Iter: 200,	 Loss: 0.06811,	 Val-Acc1: 39.78 (Best: 40.31),	 Val-Acc5: 85.12
2020-11-20 00:20:54 - INFO - Epoch: 3,	 Iter: 300,	 Loss: 0.08765,	 Val-Acc1: 44.92 (Best: 44.92),	 Val-Acc5: 86.48
2020-11-20 00:21:04 - INFO - Epoch: 4,	 Iter: 0,	 Loss: 0.02982,	 Val-Acc1: 42.52 (Best: 44.92),	 Val-Acc5: 90.20
2020-11-20 00:21:13 - INFO - Epoch: 4,	 Iter: 100,	 Loss: 0.02676,	 Val-Acc1: 49.35 (Best: 49.35),	 Val-Acc5: 88.18
2020-11-20 00:21:22 - INFO - Epoch: 4,	 Iter: 200,	 Loss: 0.06398,	 Val-Acc1: 49.97 (Best: 49.97),	 Val-Acc5: 89.18
2020-11-20 00:21:31 - INFO - Epoch: 4,	 Iter: 300,	 Loss: 0.03783,	 Val-Acc1: 48.67 (Best: 49.97),	 Val-Acc5: 89.39
2020-11-20 00:21:41 - INFO - Epoch: 5,	 Iter: 0,	 Loss: 0.06155,	 Val-Acc1: 49.55 (Best: 49.97),	 Val-Acc5: 91.61
2020-11-20 00:21:50 - INFO - Epoch: 5,	 Iter: 100,	 Loss: 0.04091,	 Val-Acc1: 57.91 (Best: 57.91),	 Val-Acc5: 93.07
2020-11-20 00:21:58 - INFO - Epoch: 5,	 Iter: 200,	 Loss: 0.04100,	 Val-Acc1: 60.08 (Best: 60.08),	 Val-Acc5: 94.76
2020-11-20 00:22:07 - INFO - Epoch: 5,	 Iter: 300,	 Loss: 0.01867,	 Val-Acc1: 61.10 (Best: 61.10),	 Val-Acc5: 95.51
2020-11-20 00:22:18 - INFO - Epoch: 6,	 Iter: 0,	 Loss: 0.02096,	 Val-Acc1: 67.02 (Best: 67.02),	 Val-Acc5: 96.74
2020-11-20 00:22:28 - INFO - Epoch: 6,	 Iter: 100,	 Loss: 0.01586,	 Val-Acc1: 62.60 (Best: 67.02),	 Val-Acc5: 96.65
2020-11-20 00:22:38 - INFO - Epoch: 6,	 Iter: 200,	 Loss: 0.06045,	 Val-Acc1: 63.47 (Best: 67.02),	 Val-Acc5: 97.29
2020-11-20 00:22:47 - INFO - Epoch: 6,	 Iter: 300,	 Loss: 0.11995,	 Val-Acc1: 64.09 (Best: 67.02),	 Val-Acc5: 97.38
2020-11-20 00:22:58 - INFO - Epoch: 7,	 Iter: 0,	 Loss: 0.08337,	 Val-Acc1: 68.77 (Best: 68.77),	 Val-Acc5: 98.37
